Data lançamento;Data valor;Descrição;Montante;Tipo;Saldo
15/11/2022;15/11/2022;PAG BXVAL- 7536 VIAVERDE;-2.90;Débito;18201.33
15/11/2022;15/11/2022;IMPOSTO DO SELO;-0.08;Débito;18204.23
15/11/2022;15/11/2022;CUSTO DE SERVICO INTERNACIONAL;-1.91;Débito;18204.31
15/11/2022;15/11/2022;COMPRA 7536 PBZTINTERSPAR Sp HRK TC   0.1352632;-49.67;Débito;18206.22
15/11/2022;15/11/2022;IMPOSTO DO SELO;-0.01;Débito;18255.89
15/11/2022;15/11/2022;CUSTO DE SERVICO INTERNACIONAL;-0.33;Débito;18255.90
15/11/2022;15/11/2022;COMPRA 7536 Wolt Zagreb HR   HRK TC   0.1351181;-8.58;Débito;18256.23
15/11/2022;15/11/2022;IMPOSTO DO SELO;-0.01;Débito;18264.81
15/11/2022;15/11/2022;CUSTO DE SERVICO INTERNACIONAL;-0.26;Débito;18264.82
15/11/2022;15/11/2022;COMPRA 7536 Wolt Zagreb HR   HRK TC   0.1351190;-6.81;Débito;18265.08
15/11/2022;15/11/2022;IMPOSTO DO SELO;-0.18;Débito;18271.89
15/11/2022;15/11/2022;COMISSAO LEVANTAMENTO NUMERARIO DEBITO;-4.43;Débito;18272.07
15/11/2022;15/11/2022;IMPOSTO DO SELO;-0.13;Débito;18276.50
15/11/2022;15/11/2022;CUSTO DE SERVICO INTERNACIONAL;-3.31;Débito;18276.63
15/11/2022;15/11/2022;LEV ATM 7536 HRV   636.90HRK TC   0.135138;-86.07;Débito;18279.94
11/11/2022;10/11/2022;CRED. 7536 PAYPAL GETYOURGUID 3056839445 DE;27.00;Crédito;18366.01
10/11/2022;10/11/2022;COMPRA 7536 EUROWINGSLH79FT PAYPAL COM DE;-187.99;Débito;18339.01
10/11/2022;10/11/2022;COMPRA 7536 PAYPAL AIRBNB HME44W 35314369001 LU;-218.40;Débito;18527.00
09/11/2022;09/11/2022;COMPRA 7536 PAYPAL FLIXBUS 30300137300 DE;-18.48;Débito;18745.40
08/11/2022;08/11/2022;PAG BXVAL- 7536 VIAVERDE;-8.10;Débito;18763.88
08/11/2022;08/11/2022;IMPOSTO DO SELO;-0.05;Débito;18771.98
08/11/2022;08/11/2022;CUSTO DE SERVICO INTERNACIONAL;-1.17;Débito;18772.03
08/11/2022;08/11/2022;COMPRA 7536 TABASCO PIZZERIA HRK TC   0.1352888;-30.44;Débito;18773.20
08/11/2022;08/11/2022;COMPRA 7536 PAYPAL GETYOURGUID 3056839445 DE;-27.00;Débito;18803.64
08/11/2022;08/11/2022;IMPOSTO DO SELO;-0.04;Débito;18830.64
08/11/2022;08/11/2022;CUSTO DE SERVICO INTERNACIONAL;-1.04;Débito;18830.68
08/11/2022;08/11/2022;COMPRA 7536 ZICARA DUBROVNIK HRK TC   0.1353000;-27.06;Débito;18831.72
08/11/2022;08/11/2022;COMPRA 7536 PAYPAL GETYOURGUID 3056839445 DE;-27.00;Débito;18858.78
07/11/2022;07/11/2022;PAG BXVAL- 7536 VIAVERDE;-3.40;Débito;18885.78
04/11/2022;04/11/2022;IMPOSTO DO SELO;-0.06;Débito;18889.18
04/11/2022;04/11/2022;CUSTO DE SERVICO INTERNACIONAL;-1.39;Débito;18889.24
04/11/2022;04/11/2022;COMPRA 7536 KONZUM P-0785 DU HRK TC   0.1336738;-36.12;Débito;18890.63
04/11/2022;04/11/2022;CUSTO DE SERVICO INTERNACIONAL;-0.07;Débito;18926.75
04/11/2022;04/11/2022;COMPRA 7536 LIBERTAS -DUBROV HRK TC   0.1338461;-1.74;Débito;18926.82
03/11/2022;03/11/2022;IMPOSTO SELO ART 17.3.4;-0.14;Débito;18928.56
03/11/2022;03/11/2022;COM.MAN.CONTA PACOTE MILLENNIUM GO       102022;-3.50;Débito;18928.70
03/11/2022;03/11/2022;CUSTO DE SERVICO INTERNACIONAL;-0.10;Débito;18932.20
03/11/2022;03/11/2022;COMPRA 7536 STUDENAC 338 VRG HRK TC   0.1341991;-2.48;Débito;18932.30
03/11/2022;03/11/2022;COMPRA 7536 SumUp Wittys organic Be CONTACTLESS;-16.20;Débito;18934.78
03/11/2022;03/11/2022;COMPRA 7536 PAYPAL FLIXBUS 30300137300 DE;-22.99;Débito;18950.98
03/11/2022;03/11/2022;COMPRA 7536 ZTL Matrix Club E Even  CONTACTLESS;-5.00;Débito;18973.97
03/11/2022;03/11/2022;IMPOSTO DO SELO;-0.18;Débito;18978.97
03/11/2022;03/11/2022;COMISSAO LEVANTAMENTO NUMERARIO DEBITO;-4.42;Débito;18979.15
03/11/2022;03/11/2022;IMPOSTO DO SELO;-0.13;Débito;18983.57
03/11/2022;03/11/2022;CUSTO DE SERVICO INTERNACIONAL;-3.25;Débito;18983.70
03/11/2022;03/11/2022;LEV ATM 7536 HRV   629.30HRK TC   0.134133;-84.41;Débito;18986.95
02/11/2022;02/11/2022;Ordem Pagamento s/Estrangeiro   Ref.20222067888;-27.00;Débito;19071.36
02/11/2022;02/11/2022;COMPRA 7536 Zettle Matrix Club Berl CONTACTLESS;-5.00;Débito;19098.36
02/11/2022;02/11/2022;COMPRA 7536 Zettle Matrix Club Berl CONTACTLESS;-5.00;Débito;19103.36
02/11/2022;02/11/2022;COMPRA 7536 Zettle Matrix Club Berl CONTACTLESS;-2.50;Débito;19108.36
02/11/2022;02/11/2022;COMPRA 7536 SumUp Curry 36 Berlin D CONTACTLESS;-5.40;Débito;19110.86
02/11/2022;02/11/2022;COMPRA 7536 PAYPAL BERLINERDOM 35314369001 LU;-9.00;Débito;19116.26
02/11/2022;02/11/2022;COMPRA 7536 PAYPAL BVG-APP 35314369001 DE;-8.80;Débito;19125.26
02/11/2022;02/11/2022;COMPRA 7536 PAYPAL VOITECHNOLO 35314369001 DE;-2.58;Débito;19134.06
01/11/2022;01/11/2022;COMPRA 7536 MCDONALDS 01418 BERLIN  CONTACTLESS;-8.29;Débito;19136.64
01/11/2022;01/11/2022;COMPRA 7536 PAYPAL BVG-APP 35314369001 DE;-8.80;Débito;19144.93
01/11/2022;01/11/2022;COMPRA 7536 PAYPAL BVG-APP 35314369001 DE;-8.80;Débito;19153.73
01/11/2022;01/11/2022;COMPRA 7536 Muddastadt GmbH Filial  CONTACTLESS;-7.99;Débito;19162.53
01/11/2022;01/11/2022;COMPRA 7536 PAYPAL BVG-APP 35314369001 DE;-3.00;Débito;19170.52
01/11/2022;01/11/2022;LEV ATM 7536 DEU 22207528 Berlin;-60.00;Débito;19173.52
31/10/2022;31/10/2022;TRF. P/O  REEMBOLSOS   IRS            AT - APOI;125.00;Crédito;19233.52
31/10/2022;31/10/2022;TRF MB WAY P/ *****0476;-22.00;Débito;19108.52
31/10/2022;30/10/2022;TRF. P/O EISA-EST.IMPLE.SIST.AUTOMAT.LDA;1400.00;Crédito;19130.52
31/10/2022;31/10/2022;TRF MB WAY P/ *****0476;-9.00;Débito;17730.52
31/10/2022;31/10/2022;TRF MB WAY P/ *****0476;-15.00;Débito;17739.52
28/10/2022;28/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.01;Débito;17754.52
28/10/2022;28/10/2022;COMPRA 7536 ALDI Sp. z o.o.  PLN TC   0.2051282;-0.16;Débito;17754.53
28/10/2022;28/10/2022;COMPRA 7536 PAYPAL BOOKING BOOKIN 35314369001 N;-271.67;Débito;17754.69
28/10/2022;28/10/2022;IMPOSTO DO SELO;-0.03;Débito;18026.36
28/10/2022;28/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.65;Débito;18026.39
28/10/2022;28/10/2022;COMPRA 7536 HEM Poznan PO    PLN TC   0.2110527;-16.88;Débito;18027.04
26/10/2022;26/10/2022;COMPRA 7536 PAYPAL BOOKING BOOKIN 35314369001 N;-112.66;Débito;18043.92
26/10/2022;26/10/2022;COMPRA 7536 EUROWINGSCBZ89F PAYPAL COM DE;-81.99;Débito;18156.58
26/10/2022;26/10/2022;COMPRA 7536 HIPAY SAS .;-33.99;Débito;18238.57
26/10/2022;26/10/2022;TRF P/ Goncalo Almeida;-300.00;Débito;18272.56
26/10/2022;26/10/2022;IMPOSTO DO SELO;-0.04;Débito;18572.56
26/10/2022;26/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.94;Débito;18572.60
26/10/2022;26/10/2022;COMPRA 7536 ALDI Sp. z o.o.  PLN TC   0.2100660;-24.50;Débito;18573.54
25/10/2022;25/10/2022;TRF MB WAY P/ *****2606;-1.00;Débito;18598.04
25/10/2022;25/10/2022;TRF MB WAY P/ *****0476;-53.04;Débito;18599.04
25/10/2022;25/10/2022;COMPRA 7536 Amazon Prime K328A8AO5 amazon.es pr;-4.99;Débito;18652.08
25/10/2022;25/10/2022;IMPOSTO DO SELO;-0.01;Débito;18657.07
25/10/2022;25/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.20;Débito;18657.08
25/10/2022;25/10/2022;COMPRA 7536 Brajton 0089 Poz PLN TC   0.2100248;-5.07;Débito;18657.28
25/10/2022;25/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.09;Débito;18662.35
25/10/2022;25/10/2022;COMPRA 7536 MARCIN MROZ FIRM PLN TC   0.2096219;-2.44;Débito;18662.44
25/10/2022;25/10/2022;IMPOSTO DO SELO;-0.01;Débito;18664.88
25/10/2022;25/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.36;Débito;18664.89
25/10/2022;25/10/2022;COMPRA 7536 McDonalds 442, P PLN TC   0.2099778;-9.47;Débito;18665.25
25/10/2022;25/10/2022;CUSTO DE SERVICO INTERNACIONAL;-0.05;Débito;18674.72
25/10/2022;25/10/2022;COMPRA 7536 EST SERVICO ORLE PLN TC   0.2099358;-1.31;Débito;18674.77
